output_x,output_y,output_z,time
-2.57,-1.04,0.28,15072
-2.5,-1.11,0.28,15099
-2.5,-1.04,0.35,15128
-2.57,-1.11,0.35,15156
-2.5,-1.11,0.35,15184
-2.64,-1.04,0.28,15212
-2.64,-1.04,0.35,15241
-2.57,-1.04,0.35,15268
-2.64,-1.11,0.28,15296
-2.5,-1.04,0.28,15325
-2.57,-0.97,0.28,15352
-2.71,-1.04,0.28,15381
-2.5,-1.11,0.28,15409
-2.64,-1.11,0.35,15437
-2.5,-1.04,0.35,15465
-2.64,-1.11,0.35,15493
-2.64,-1.11,0.28,15521
-2.64,-1.11,0.35,15549
-2.57,-1.11,0.35,15578
-2.57,-1.04,0.28,15605
-2.5,-1.11,0.28,15634
-2.57,-1.11,0.35,15662
-2.64,-1.11,0.28,15689
-2.57,-1.18,0.35,15718
-2.57,-1.11,0.28,15746
-2.64,-0.97,0.21,15774
-2.57,-1.11,0.28,15802
-2.64,-1.18,0.35,15830
-2.64,-1.11,0.35,15858
-2.57,-1.11,0.35,15886
-2.57,-1.11,0.28,15915
-2.5,-1.18,0.35,15942
-2.57,-1.11,0.35,15971
-2.57,-1.11,0.35,15998
-2.57,-1.04,0.35,16026
-2.57,-1.11,0.28,16055
-2.57,-1.04,0.28,16082
-2.5,-1.04,0.21,16111
-2.71,-1.04,0.35,16139
-2.57,-1.11,0.28,16167
-2.57,-1.04,0.35,16195
-2.5,-1.11,0.28,16223
-2.57,-1.04,0.35,16251
-2.57,-1.18,0.35,16279
-2.64,-1.04,0.28,16308
-2.64,-1.04,0.35,16335
-2.5,-1.04,0.35,16363
-2.57,-1.11,0.28,16392
-2.64,-1.04,0.35,16419
-2.5,-1.11,0.35,16448
-2.64,-1.04,0.28,16476
-2.64,-1.11,0.28,16504
-2.64,-1.11,0.42,16532
-2.64,-1.04,0.35,16560
-2.64,-1.11,0.35,16588
-2.57,-1.11,0.28,16616
-2.57,-1.11,0.28,16645
-2.64,-1.04,0.35,16672
-2.57,-1.11,0.21,16701
-2.5,-1.11,0.35,16729
-2.57,-1.11,0.28,16756
-2.57,-1.18,0.21,16785
-2.5,-1.18,0.35,16813
-2.57,-1.04,0.28,16841
-2.64,-1.11,0.35,16869
-2.57,-1.04,0.35,16897
-2.64,-1.11,0.35,16925
-2.5,-1.18,0.28,16953
-2.64,-1.04,0.35,16982
-2.57,-1.11,0.28,17009
-2.64,-1.11,0.35,17038
-2.57,-1.04,0.35,17065
-2.64,-1.11,0.35,17093
-2.57,-1.11,0.28,17122
-2.64,-1.11,0.35,17149
-2.57,-1.11,0.35,17178
-2.57,-1.18,0.35,17206
-2.5,-1.04,0.35,17234
-2.64,-1.04,0.35,17262
-2.5,-1.11,0.28,17290
-2.57,-1.18,0.28,17318
-2.57,-1.04,0.35,17346
-2.5,-1.11,0.28,17375
-2.57,-1.11,0.28,17402
-2.64,-1.04,0.28,17430
-2.57,-1.11,0.35,17459
-2.57,-1.11,0.35,17486
-2.64,-1.11,0.35,17515
-2.64,-1.11,0.35,17543
-2.64,-1.04,0.42,17571
-2.57,-1.11,0.35,17599
-2.64,-1.04,0.35,17627
-2.64,-1.11,0.35,17655
-2.57,-1.11,0.42,17683
-2.57,-1.11,0.35,17712
-2.57,-1.18,0.35,17739
-2.5,-1.11,0.21,17768
-2.57,-1.04,0.28,17796
-2.57,-1.11,0.35,17823
-2.57,-1.18,0.21,17852
-2.57,-1.18,0.28,17880
-2.5,-1.11,0.28,17908
-2.57,-1.11,0.35,17936
-2.64,-1.18,0.28,17965
-2.5,-1.11,0.35,17992
-2.57,-1.04,0.28,18020
-2.57,-1.11,0.35,18049
-2.5,-1.18,0.35,18076
-2.57,-1.04,0.35,18105
-2.64,-1.18,0.35,18132
-2.64,-1.11,0.28,18160
-2.64,-1.11,0.35,18189
-2.57,-1.04,0.35,18216
-2.57,-1.11,0.28,18245
-2.5,-1.18,0.28,18273
-2.64,-1.11,0.28,18301
-2.64,-1.11,0.35,18329
-2.57,-1.11,0.28,18357
-2.57,-1.11,0.28,18385
-2.64,-1.11,0.35,18413
-2.64,-1.18,0.35,18442
-2.64,-1.04,0.28,18469
-2.57,-1.04,0.21,18498
